SVM,Kudchade ,1 
MAO,Madgaon Junction ,3 
VSG,Vasco-da-Gama ,3 
TNGL,Toranagallu Junction ,3 
MRB,Munirabad ,1 
KBL,Koppal ,1 
NGR,Annigeri ,2 
SVHE,Sisvinhalli ,1 
KGB,Kargi Road ,3 
BIG,Belgahna ,3 
PND,Pendra Road ,3 
APR,Anuppur Junction ,4 
AAL,Amlai ,3 
BUH,Burhar ,3 
SDL,Shahdol ,3 
BRS,Birsinghpur ,3 
UMR,Umaria ,3 
KTE,Katni Junction ,6 
SHR,Sihora Road ,2 
JBP,Jabalpur Junction ,6 
MML,Madan Mahal ,3 
SRID,Shridham ,3 
NU,Narsinghpur ,2 
KY,Kareli ,2 
GAR,Gadarwara ,2 
BKH,Bankhedi ,2 
PPI,Pipariya ,3 
SGP,Sohagpur ,2 
HBD,Hoshangabad ,2 
GKP,Gorakhpur Junction ,10 
KLD,Khalilabad ,3 
BST,Basti ,5 
GD,Gonda Junction ,3 
RK,Roorkee ,3 
JUD,Yamunanagar-Jagadhri ,3 
JRC,Jalandhar Cantt. Junction ,3 
GHY,Guwahati ,7 
KYQ,Kamakhya Junction ,4 
RNY,Rangiya Junction ,5 
NBQ,New Bongaigaon Junction ,4 
NOQ,New Alipurduar ,3 
NCB,New Cooch Behar ,5 
DQG,Dhupguri ,2 
KIR,Katihar Junction ,7 
CRR,Karhagola Road ,3 
NNA,Naugachia ,3 
KGG,Khagaria Junction ,3 
BGS,Begusarai ,3 
BJU,Barauni Junction ,9 
SPJ,Samastipur Junction ,7 
MFP,Muzaffarpur Junction ,6 
CAA,Chakia ,2 
MKI,Motihari ,2 
SGL,Sagauli Junction ,2 
BTH,Bettiah ,3 
NKE,Narkatiaganj Junction ,4 
BUG,Bagaha ,2 
SBZ,Siswa Bazar ,1 
CPJ,Kaptanganj Junction ,2 
VAK,Varkala Sivagiri ,3 
KPY,Karunagappalli ,2 
MVLK,Mavelikara ,3 
CNGR,Chengannur ,3 
TRVL,Tiruvalla ,4 
CGY,Changanassery ,3 
KTYM,Kottayam ,3 
PGTN,Palakkad Town ,Palghat) 
SRP,Shrirampur ,Serampore) 
SHE,Seoraphuli Junction ,6 
CGR,Chandan Nagar ,3 
CNS,Chuchura ,3 
BDC,Bandel Junction ,7 
KAN,Khana Junction ,5 
MNAE,Mankar ,4 
OYR,Waria ,4 
STN,Sitarampur Junction ,5 
RNPR,Rupnarayanpur ,3 
